yDay,SST.mean,SST.median,SST.sd,SST.q5,SST.q10,SST.q25,SST.q75,SST.q90,SST.q95,SST.min,SST.max
17,17.220399999999998,17.0405,1.1897749740555523,15.893849999999999,16.043699999999998,16.213,17.96275,18.978299999999997,19.01115,15.744,19.044
18,17.1119,16.976,1.1180813377289585,15.87195,16.0029,16.1295,17.97175,18.165499999999998,18.653749999999995,15.741,19.142
19,16.8051,16.942,0.7446461426595709,15.8232,15.8754,16.10475,17.197,17.7778,17.790399999999998,15.770999999999999,17.803
20,16.7075,16.716,0.6445925931246117,15.8167,15.9454,16.1865,17.307000000000002,17.4427,17.45935,15.688,17.476
21,16.8006,16.6515,0.6327088500162533,16.0515,16.236,16.453,17.09175,17.634800000000002,17.8049,15.866999999999999,17.975
22,17.1116,16.8755,0.8535438802753823,16.2357,16.4454,16.72125,17.420749999999998,17.7173,18.44315,16.026,19.169
23,17.2486,16.9335,0.8138570991137061,16.5909,16.6458,16.758,17.3425,18.177899999999998,18.68595,16.536,19.194
24,17.0898,17.009,0.48969759375897753,16.542800000000003,16.5896,16.7765,17.193,17.8418,17.921899999999997,16.496000000000002,18.002
25,17.063200000000002,17.022000000000002,0.5031409786972675,16.515700000000002,16.6264,16.7445,17.20975,17.3811,17.81805,16.405,18.255
26,17.144199999999998,17.1115,0.3941741859747909,16.662499999999998,16.747999999999998,16.9095,17.289749999999998,17.7194,17.775199999999998,16.576999999999998,17.831
27,17.2861,17.2085,0.4870303321605799,16.70935,16.7197,16.958999999999996,17.584,18.025100000000002,18.034550000000003,16.698999999999998,18.044
28,17.3765,17.3765,0.417104902872167,16.83895,16.9429,17.0905,17.733999999999998,17.8545,17.93325,16.735,18.012
29,17.3545,17.411,0.3533198896813542,16.909100000000002,16.9622,17.088,17.430750000000003,17.6236,17.8513,16.856,18.079
30,17.215,17.3845,0.46009177828390385,16.566699999999997,16.6234,16.866500000000002,17.49225,17.601200000000002,17.7821,16.509999999999998,17.963
31,17.209400000000002,17.366500000000002,0.7297744248129769,16.1798,16.1996,16.647750000000002,17.82275,17.9573,17.95865,16.16,17.96
32,17.1383,17.076,0.789777190802008,16.1751,16.192199999999996,16.3925,17.91325,18.099800000000002,18.1034,16.158,18.107
33,17.240199999999998,17.220999999999997,0.8234030739693788,16.1972,16.258399999999998,16.47325,17.947000000000003,18.203899999999997,18.28895,16.136,18.374
34,17.3538,17.3215,0.72358226131442,16.36085,16.5107,16.999,17.8375,18.145400000000002,18.3767,16.211,18.608
35,17.4585,17.458,0.7471091322929712,16.4801,16.7492,16.949,17.876,18.3003,18.52665,16.211,18.753
36,17.3748,17.4225,0.7929347458089546,16.17505,16.242099999999997,17.06725,17.8175,18.3765,18.42375,16.108,18.471
37,17.3974,17.320999999999998,0.683106173624894,16.5124,16.553800000000003,17.13575,17.633750000000003,18.041,18.445999999999998,16.471,18.851
38,17.2281,17.009,0.6484200370473172,16.538449999999997,16.5569,16.923750000000002,17.6065,17.8599,18.24645,16.52,18.633
39,17.0961,16.9435,0.7005677776711634,16.319899999999997,16.392799999999998,16.618249999999996,17.5395,17.9589,18.18795,16.247,18.417
40,17.1087,17.0715,0.5923092379267211,16.3238,16.3256,16.71625,17.514000000000003,17.8467,17.90385,16.322,17.961
41,17.1468,17.085,0.5045320824508807,16.48635,16.4967,16.84225,17.426,17.8416,17.8893,16.476,17.937
42,17.3152,17.3945,0.6024423992751887,16.50385,16.5547,16.81825,17.81725,17.954000000000004,18.066500000000005,16.453,18.179000000000002
43,17.2912,17.259,0.6136844647065963,16.50615,16.6533,16.7885,17.74025,18.0794,18.135199999999998,16.359,18.191
44,17.3836,17.412,0.6314799548151412,16.36085,16.6097,17.226,17.79175,17.970599999999997,18.1308,16.112000000000002,18.291
45,17.3988,17.4185,0.5261340767016204,16.5604,16.8268,17.2815,17.8045,17.9465,17.99375,16.294,18.041
46,17.430699999999998,17.6025,0.4937064017319521,16.602199999999996,16.816399999999998,17.240000000000002,17.784,17.863200000000003,17.913600000000002,16.387999999999998,17.964
47,17.406100000000002,17.5545,0.5854586900693997,16.4514,16.5288,17.243750000000002,17.642249999999997,18.0698,18.145400000000002,16.374000000000002,18.221
48,17.3618,17.4085,0.8315277505892389,16.058,16.192999999999998,16.99275,17.946,18.275,18.383,15.923,18.491
49,17.4635,17.499000000000002,0.8226815571315823,16.245199999999997,16.2794,17.39275,17.69525,17.9761,18.570549999999997,16.211,19.165
50,17.5048,17.555500000000002,0.8740775200810917,16.475649999999998,16.6903,16.8465,17.75775,18.4741,18.870549999999998,16.261,19.267
51,17.3406,17.188,0.9399652712260769,16.218999999999998,16.461999999999996,16.714499999999997,17.759500000000003,18.7894,18.791200000000003,15.975999999999999,18.793
52,17.325,17.2515,0.9516406884954004,16.07755,16.3921,16.72375,17.9425,18.624100000000002,18.65605,15.763,18.688
53,17.2816,17.0985,0.9795942697532144,16.18645,16.4479,16.67825,17.53725,18.8304,18.917699999999996,15.924999999999999,19.005
54,17.3707,17.125,0.8684071049916623,16.48015,16.6363,16.8195,17.594,18.8348,18.8519,16.323999999999998,18.869
55,17.3604,17.221,0.8522399505616555,16.419449999999998,16.590899999999998,16.756500000000003,17.6435,18.650699999999997,18.770849999999996,16.247999999999998,18.891
56,17.2962,17.060000000000002,0.8526166000416987,16.32975,16.5435,16.7495,17.77675,18.564,18.6405,16.116,18.717
57,17.2681,17.1,0.9125597027653102,16.220100000000002,16.4262,16.5905,17.7545,18.5839,18.70495,16.014,18.826
58,17.3215,17.255,0.8693029455322867,16.3337,16.3814,16.62575,17.790750000000003,18.2289,18.646949999999997,16.286,19.064999999999998
59,17.3227,17.049500000000002,0.8856388842713117,16.41105,16.4241,16.548499999999997,18.035000000000004,18.2537,18.59885,16.398,18.944
60,17.2791,17.061999999999998,0.7771253938572444,16.4581,16.493199999999998,16.74625,17.80625,18.1515,18.48225,16.423000000000002,18.813
61,17.1775,17.0395,0.6800307591082423,16.45655,16.4741,16.65,17.51025,17.8508,18.2414,16.439,18.631999999999998
